# Prior;Lambda;PCA;Dataset;Weighted;Type;LogregPrior;MinDCF
$\pi = 0.5$;$10^{-1}$;PCA $(m=5)$;RAW;Unweighted;Linear;;0.5141801203516405
$\pi = 0.5$;$10^{-2}$;PCA $(m=5)$;RAW;Unweighted;Linear;;0.5136725061384426
$\pi = 0.5$;$10^{-3}$;PCA $(m=5)$;RAW;Unweighted;Linear;;0.5136725061384426
$\pi = 0.5$;$10^{-4}$;PCA $(m=5)$;RAW;Unweighted;Linear;;0.5141801203516405
$\pi = 0.5$;$10^{-5}$;PCA $(m=5)$;RAW;Unweighted;Linear;;0.5141801203516405
$\pi = 0.1$;$10^3$;PCA $(m=5)$;RAW;Unweighted;Linear;;1.0
$\pi = 0.1$;$10^2$;PCA $(m=5)$;RAW;Unweighted;Linear;;1.0
$\pi = 0.1$;$10$;PCA $(m=5)$;RAW;Unweighted;Linear;;1.0
$\pi = 0.1$;$10^{-1}$;PCA $(m=5)$;RAW;Unweighted;Linear;;1.0
$\pi = 0.1$;$10^{-2}$;PCA $(m=5)$;RAW;Unweighted;Linear;;1.0
$\pi = 0.1$;$10^{-3}$;PCA $(m=5)$;RAW;Unweighted;Linear;;1.0
$\pi = 0.1$;$10^{-4}$;PCA $(m=5)$;RAW;Unweighted;Linear;;1.0
$\pi = 0.1$;$10^{-5}$;PCA $(m=5)$;RAW;Unweighted;Linear;;1.0
$\pi = 0.9$;$10^3$;PCA $(m=5)$;RAW;Unweighted;Linear;;0.5195107056982557
$\pi = 0.9$;$10^2$;PCA $(m=5)$;RAW;Unweighted;Linear;;0.5266173046830274
$\pi = 0.9$;$10$;PCA $(m=5)$;RAW;Unweighted;Linear;;0.5382924315865806
$\pi = 0.9$;$10^{-1}$;PCA $(m=5)$;RAW;Unweighted;Linear;;0.5398152742261746
$\pi = 0.9$;$10^{-2}$;PCA $(m=5)$;RAW;Unweighted;Linear;;0.5398152742261746
$\pi = 0.9$;$10^{-3}$;PCA $(m=5)$;RAW;Unweighted;Linear;;0.5398152742261746
$\pi = 0.9$;$10^{-4}$;PCA $(m=5)$;RAW;Unweighted;Linear;;0.5398152742261746
$\pi = 0.9$;$10^{-5}$;PCA $(m=5)$;RAW;Unweighted;Linear;;0.5398152742261746
$\pi = 0.5$;$10^3$;No PCA;Z-Norm;Unweighted;Linear;;0.584358103380278
$\pi = 0.5$;$10^2$;No PCA;Z-Norm;Unweighted;Linear;;0.5005381473989543
$\pi = 0.5$;$10$;No PCA;Z-Norm;Unweighted;Linear;;0.49190870577458873
$\pi = 0.5$;$10^{-1}$;No PCA;Z-Norm;Unweighted;Linear;;0.49501800185743544
$\pi = 0.5$;$10^{-2}$;No PCA;Z-Norm;Unweighted;Linear;;0.5034578832868974
$\pi = 0.5$;$10^{-3}$;No PCA;Z-Norm;Unweighted;Linear;;0.5074869915906517
$\pi = 0.5$;$10^{-4}$;No PCA;Z-Norm;Unweighted;Linear;;0.5100250626566416
$\pi = 0.5$;$10^{-5}$;No PCA;Z-Norm;Unweighted;Linear;;0.5100250626566416
$\pi = 0.1$;$10^3$;No PCA;Z-Norm;Unweighted;Linear;;1.0
$\pi = 0.1$;$10^2$;No PCA;Z-Norm;Unweighted;Linear;;1.0
$\pi = 0.1$;$10$;No PCA;Z-Norm;Unweighted;Linear;;1.0
$\pi = 0.1$;$10^{-1}$;No PCA;Z-Norm;Unweighted;Linear;;1.0
$\pi = 0.1$;$10^{-2}$;No PCA;Z-Norm;Unweighted;Linear;;1.0
$\pi = 0.1$;$10^{-3}$;No PCA;Z-Norm;Unweighted;Linear;;1.0
$\pi = 0.1$;$10^{-4}$;No PCA;Z-Norm;Unweighted;Linear;;1.0
$\pi = 0.1$;$10^{-5}$;No PCA;Z-Norm;Unweighted;Linear;;1.0
$\pi = 0.9$;$10^3$;No PCA;Z-Norm;Unweighted;Linear;;0.6192893401015228
$\pi = 0.9$;$10^2$;No PCA;Z-Norm;Unweighted;Linear;;0.5416243654822335
$\pi = 0.9$;$10$;No PCA;Z-Norm;Unweighted;Linear;;0.5453990305713523
$\pi = 0.9$;$10^{-1}$;No PCA;Z-Norm;Unweighted;Linear;;0.5408305026525705
$\pi = 0.9$;$10^{-2}$;No PCA;Z-Norm;Unweighted;Linear;;0.548666081447273
$\pi = 0.9$;$10^{-3}$;No PCA;Z-Norm;Unweighted;Linear;;0.5501889240868669
$\pi = 0.9$;$10^{-4}$;No PCA;Z-Norm;Unweighted;Linear;;0.5506965383000649
$\pi = 0.9$;$10^{-5}$;No PCA;Z-Norm;Unweighted;Linear;;0.5506965383000649
$\pi = 0.5$;$10^3$;PCA $(m=5)$;Z-Norm;Unweighted;Linear;;0.5838504891670802
$\pi = 0.5$;$10^2$;PCA $(m=5)$;Z-Norm;Unweighted;Linear;;0.5000305331857562
$\pi = 0.5$;$10$;PCA $(m=5)$;Z-Norm;Unweighted;Linear;;0.4934315484141827
$\pi = 0.5$;$10^{-1}$;PCA $(m=5)$;Z-Norm;Unweighted;Linear;;0.49552561607063345
$\pi = 0.5$;$10^{-2}$;PCA $(m=5)$;Z-Norm;Unweighted;Linear;;0.5034578832868974
$\pi = 0.5$;$10^{-3}$;PCA $(m=5)$;Z-Norm;Unweighted;Linear;;0.5070111827792833
$\pi = 0.5$;$10^{-4}$;PCA $(m=5)$;Z-Norm;Unweighted;Linear;;0.508534025418877
$\pi = 0.5$;$10^{-5}$;PCA $(m=5)$;Z-Norm;Unweighted;Linear;;0.508534025418877
$\pi = 0.1$;$10^3$;PCA $(m=5)$;Z-Norm;Unweighted;Linear;;1.0
$\pi = 0.1$;$10^2$;PCA $(m=5)$;Z-Norm;Unweighted;Linear;;1.0
$\pi = 0.1$;$10$;PCA $(m=5)$;Z-Norm;Unweighted;Linear;;1.0
$\pi = 0.1$;$10^{-1}$;PCA $(m=5)$;Z-Norm;Unweighted;Linear;;1.0
$\pi = 0.1$;$10^{-2}$;PCA $(m=5)$;Z-Norm;Unweighted;Linear;;1.0
$\pi = 0.1$;$10^{-3}$;PCA $(m=5)$;Z-Norm;Unweighted;Linear;;1.0
$\pi = 0.1$;$10^{-4}$;PCA $(m=5)$;Z-Norm;Unweighted;Linear;;1.0
$\pi = 0.1$;$10^{-5}$;PCA $(m=5)$;Z-Norm;Unweighted;Linear;;1.0
$\pi = 0.9$;$10^3$;PCA $(m=5)$;Z-Norm;Unweighted;Linear;;0.6197969543147208
$\pi = 0.9$;$10^2$;PCA $(m=5)$;Z-Norm;Unweighted;Linear;;0.5421319796954315
$\pi = 0.9$;$10$;PCA $(m=5)$;Z-Norm;Unweighted;Linear;;0.5456852791878173
$\pi = 0.9$;$10^{-1}$;PCA $(m=5)$;Z-Norm;Unweighted;Linear;;0.5372772031601847
$\pi = 0.9$;$10^{-2}$;PCA $(m=5)$;Z-Norm;Unweighted;Linear;;0.5496813098736689
$\pi = 0.9$;$10^{-3}$;PCA $(m=5)$;Z-Norm;Unweighted;Linear;;0.5512041525132628
$\pi = 0.9$;$10^{-4}$;PCA $(m=5)$;Z-Norm;Unweighted;Linear;;0.5512041525132628
$\pi = 0.9$;$10^{-5}$;PCA $(m=5)$;Z-Norm;Unweighted;Linear;;0.5512041525132628
